iter	Passed	Remaining
205	265	1021
206	265	1018
207	266	1014
208	266	1010
209	267	1006
210	268	1002
211	268	998
212	269	994
213	269	990
214	270	986
215	270	982
216	271	978
217	271	974
218	272	970
219	272	966
220	273	963
221	273	959
222	274	955
223	274	952
224	275	948
225	275	944
226	277	944
227	278	942
228	279	940
229	279	937
230	280	934
231	281	930
232	281	928
233	282	924
234	283	921
235	283	918
236	284	915
237	285	912
238	285	909
239	286	906
240	286	903
241	287	899
242	287	896
243	288	893
244	288	890
245	289	887
246	289	883
247	290	880
248	290	877
249	291	874
250	292	871
251	292	868
252	293	865
253	293	862
254	294	859
255	294	856
256	295	853
257	295	851
258	296	848
259	297	846
260	297	843
261	298	840
262	299	840
263	300	838
264	301	836
265	302	835
266	303	833
267	304	830
268	304	827
269	305	825
270	305	822
271	306	819
272	306	817
273	307	815
274	308	812
275	308	809
276	309	807
277	309	804
278	310	802
279	311	799
280	311	797
281	312	794
282	312	792
283	313	789
284	313	787
285	314	784
286	314	782
287	315	779
288	315	777
289	316	774
290	317	772
291	317	769
292	318	767
293	318	765
294	319	762
295	319	760
296	320	757
297	320	755
298	321	753
299	322	752
300	323	750
301	324	749
302	324	747
303	325	745
304	326	742
305	326	740
306	327	738
307	327	736
308	328	733
309	328	731
310	329	729
311	329	727
312	330	725
313	330	722
314	331	720
315	332	718
316	332	716
317	333	714
318	333	712
319	334	710
320	334	708
321	335	706
322	335	704
323	336	702
324	337	700
325	337	698
326	338	696
327	338	693
328	339	691
329	341	692
330	342	691
331	342	689
332	343	687
333	344	686
334	344	684
335	345	682
336	346	680
337	346	679
338	347	677
339	348	675
340	348	673
341	349	671
342	349	669
343	350	668
344	350	666
345	351	664
346	352	662
347	352	660
348	353	658
349	353	656
350	354	654
351	354	652
352	355	650
353	355	649
354	356	647
355	356	645
356	357	643
357	357	641
358	358	639
359	358	637
360	359	636
361	359	634
362	360	632
363	360	630
364	361	628
365	363	629
366	364	628
367	365	626
368	365	625
369	366	623
370	366	622
371	367	620
372	368	618
373	368	617
374	369	615
375	370	614
376	370	612
377	371	610
378	371	609
379	372	607
380	373	606
381	373	604
382	374	602
383	374	601
384	375	599
385	375	597
386	376	596
387	377	594
388	377	592
389	378	591
390	378	589
391	379	588
392	379	586
393	380	584
394	380	583
395	381	581
396	381	579
397	382	578
398	382	576
399	383	575
400	383	573
401	385	573
402	386	572
403	387	571
404	387	569
405	388	568
406	389	567
407	389	565
408	390	564
409	390	562
410	391	561
411	392	559
412	392	558
413	393	557
414	394	555
415	394	554
416	395	552
417	395	551
418	396	549
419	396	547
420	397	546
421	397	544
422	398	543
423	398	541
424	399	540
425	399	538
426	400	537
427	401	535
428	401	534
429	402	533
430	402	531
431	403	530
432	403	528
433	404	527
434	405	526
435	405	524
436	406	523
437	407	522
438	408	521
439	409	520
440	409	519
441	410	517
442	410	516
443	411	515
444	412	513
445	412	512
446	413	511
447	413	509
448	414	508
449	414	506
450	415	505
451	415	504
452	416	502
453	416	501
454	417	499
455	418	498
456	418	497
457	419	496
458	419	494
459	420	493
460	421	492
461	421	490
462	422	489
463	422	488
464	423	486
465	423	485
466	424	484
467	424	482
468	425	481
469	425	480
470	426	478
471	426	477
472	427	476
473	427	474
474	428	473
475	429	472
476	430	471
477	430	470
478	431	469
479	432	468
480	432	466
481	433	465
482	433	464
483	434	463
484	434	461
485	435	460
486	436	459
487	436	457
488	437	456
489	437	455
490	438	454
491	438	452
492	439	451
493	439	450
494	440	449
495	440	448
